mock_ue_id,lon,lat,tick
0,-97.70107912696241,30.3133967421034,0
1,-97.72286740309758,30.296241294050976,0
2,-97.76812236140498,30.29066825668099,0
3,-97.70650845093509,30.22984316290384,0
4,-97.71674533988843,30.2705801006597,0
5,-97.72079086895192,30.25580274252615,0
6,-97.75077032228104,30.239100813225487,0
7,-97.73043355024473,30.235400492159435,0
8,-97.73492481326915,30.279015583888874,0
9,-97.7280595387803,30.24145672827355,0
10,-97.78706237010546,30.309428792010113,0
11,-97.75249519894295,30.278432076676392,0
12,-97.70025495538472,30.298881017005186,0
13,-97.77181282977641,30.254696624987492,0
14,-97.79190123871976,30.311943430897426,0
15,-97.73802636206138,30.252310539823128,0
16,-97.75711093013675,30.27248290016901,0
17,-97.70926007302624,30.24911690586847,0
18,-97.77072210410957,30.31209274175955,0
19,-97.78299975506205,30.251790263214307,0
20,-97.70907362187613,30.30945774945019,0
21,-97.77975348314192,30.228366540076106,0
22,-97.77728555880732,30.2760259694544,0
23,-97.73326519721815,30.283274584547055,0
24,-97.70458335269797,30.235548260797895,0
25,-97.77540772914902,30.23881857129485,0
26,-97.76341392656357,30.26391986338332,0
27,-97.714637465284,30.31307296165834,0
28,-97.69441365254458,30.27988130551984,0
29,-97.74365489118328,30.310267123775365,0
30,-97.7807646452037,30.29864960625179,0
31,-97.794309948895,30.268260819659545,0
32,-97.77174798416705,30.296800508054652,0
33,-97.78200560145446,30.22772171856696,0
34,-97.72512378321926,30.23598978283749,0
35,-97.78305251503224,30.300835411007185,0
36,-97.74316243868813,30.29780025698748,0
37,-97.72348917102993,30.24694225108665,0
38,-97.7353208899414,30.273957182171948,0
39,-97.7750709286241,30.280782126824572,0
40,-97.71208024842224,30.304255656777016,0
41,-97.72112734535077,30.28032915231527,0
42,-97.71869524895011,30.26316426501851,0
43,-97.78206786759728,30.259822185290858,0
44,-97.78289859984235,30.264542276695387,0
45,-97.69908742931845,30.28493648960454,0
46,-97.7543829868793,30.30433976144519,0
47,-97.7645535901061,30.26693768399514,0
48,-97.74497897109259,30.248455899531663,0
49,-97.72655428494876,30.247447656789127,0
0,-97.70085784092633,30.313387933254457,1
1,-97.7230236993666,30.29669586152999,1
2,-97.76922035286496,30.290442736937308,1
3,-97.70669403871109,30.23003076780125,1
4,-97.71618304578075,30.27082792777374,1
5,-97.72199583671798,30.256378615712514,1
6,-97.7507216940508,30.238943849334245,1
7,-97.7299605715497,30.23522012606564,1
8,-97.73496945445987,30.279237530773393,1
9,-97.72803757885846,30.241120790265512,1
10,-97.78698534492995,30.309428643818904,1
